,plate,mjd,fiberid,class,subclass,z,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,h_alpha_eqw,nii_6584_eqw
19046,832,52312,224,b'GALAXY',b'STARBURST',0.1044705,939.9468,189.3177,96.9778,454.4341,39.05388,156.1556,126.362,-41.97758,-20.26917
19047,833,52314,522,b'GALAXY',b'STARFORMING',0.1122102,130.3786,37.14508,14.72869,43.13633,8.976728,30.0177,18.13715,-13.57568,-4.684293
19048,834,52316,148,b'GALAXY',b'STARFORMING',0.1047335,393.7483,72.45227,36.8296,169.0401,12.96683,70.61431,47.38766,-32.70038,-13.87145
19049,835,52326,33,b'GALAXY',b'STARBURST',0.0497021,1001.503,288.4221,505.2849,143.7188,34.37753,171.2001,120.4521,-75.13483,-10.71013
19050,835,52326,479,b'GALAXY',b'STARFORMING',0.02062116,431.3242,124.3437,177.6575,153.5528,36.01391,139.974,107.0347,-10.11429,-3.549093
19051,835,52326,510,b'GALAXY',b'STARBURST',0.02729054,2684.581,798.8748,1614.193,361.7067,62.56626,367.5849,260.2745,-119.7267,-16.69247
19052,836,52376,589,b'GALAXY',b'STARBURST',0.0643442,278.105,50.02491,26.75775,119.5331,18.32009,69.29994,45.86068,-34.97581,-14.17344
19053,837,52642,379,b'GALAXY',b'STARFORMING',0.03966899,219.5061,51.45696,48.99972,170.4984,22.03322,104.0489,75.33159,-8.156417,-6.002055
19054,838,52378,312,b'GALAXY',b'STARBURST',0.1229852,371.6251,107.4586,261.6299,33.53537,17.53294,65.30483,40.95074,-63.09386,-5.622311
19055,839,52373,585,b'GALAXY',b'STARFORMING',0.07581199,239.2427,63.07132,21.89564,84.91351,9.572503,41.04974,34.09827,-30.14805,-10.49177
19056,840,52374,315,b'GALAXY',b'STARFORMING',0.09092905,129.7003,42.1677,51.25703,22.82003,8.499923,23.01118,26.99502,-30.4184,-5.69478
19057,840,52374,361,b'GALAXY',b'STARFORMING',0.07571919,344.2497,91.55329,36.69799,161.0242,15.25737,86.08456,73.44366,-16.17987,-7.555459
19058,842,52376,311,b'GALAXY',b'STARFORMING',0.1356443,126.3455,27.39783,23.31097,101.9298,16.90973,42.61406,32.15448,-12.88201,-9.856118
19059,844,52378,224,b'GALAXY',b'STARBURST',0.124606,354.1599,63.83415,45.7554,121.9359,19.40289,74.58962,48.1212,-53.17337,-18.27174
19060,844,52378,299,b'GALAXY',b'STARBURST',0.07567337,5964.313,1797.053,4189.94,1085.694,95.01903,512.3707,396.354,-278.2459,-50.54113
19061,844,52378,367,b'GALAXY',b'STARFORMING',0.07911047,234.9715,62.94628,53.52386,57.57462,11.05178,47.28739,36.83799,-25.67035,-5.808646
19062,844,52378,445,b'GALAXY',b'STARBURST',0.01846291,12356.05,2424.668,478.0686,7663.177,210.0233,1476.294,1495.682,-80.48891,-50.02998
19063,845,52381,424,b'GALAXY',b'STARFORMING',0.06621628,175.8102,46.87153,37.11018,44.02124,6.582236,39.24697,27.73312,-28.23408,-7.5464
19064,846,52407,542,b'GALAXY',b'STARBURST',0.08170075,923.3268,242.178,242.6695,207.6175,33.08984,178.0002,122.8636,-70.74545,-16.05261
19065,847,52426,503,b'GALAXY',b'STARBURST',0.1817223,777.3375,178.6691,89.30311,350.5216,23.44475,109.7603,90.55357,-63.09566,-26.55673
19066,847,52426,512,b'GALAXY',b'STARFORMING',0.06901756,307.9374,86.62589,44.92439,91.45171,11.061,61.28082,47.43547,-33.19376,-10.41919
19067,848,52669,422,b'GALAXY',b'AGN',0.09173874,276.435,64.70282,344.4805,249.5393,33.35549,89.41266,79.03931,-14.64421,-12.49305
19068,850,52338,199,b'GALAXY',b'STARFORMING',0.1063952,527.7083,87.23665,67.16109,304.772,15.91951,82.7748,67.38397,-23.22561,-13.52507
19069,850,52338,272,b'GALAXY',b'STARFORMING',0.07642251,361.1292,71.18233,21.24357,191.9511,10.69196,57.18655,43.67699,-28.41116,-15.28019
19070,850,52338,439,b'GALAXY',b'STARFORMING',0.0468522,286.7267,68.44875,56.96872,72.6355,9.158798,64.51119,47.04399,-43.80709,-10.30979
19071,851,52376,276,b'GALAXY',b'STARFORMING',0.07600742,183.3962,49.97765,37.6151,44.19115,9.098722,38.5743,31.00425,-29.62625,-7.018076
19072,851,52376,488,b'GALAXY',b'STARFORMING',0.0965055,122.2535,35.68307,37.51217,66.80255,26.56046,67.00844,45.81519,-5.507909,-3.050712
19073,853,52374,163,b'GALAXY',b'STARFORMING',0.02244885,306.7493,56.86689,31.71796,141.6908,11.89944,76.57321,58.4283,-14.65079,-6.75117
19074,853,52374,492,b'GALAXY',b'STARBURST',0.07672451,1408.79,357.8777,178.6992,583.5993,44.52374,268.7311,183.9582,-49.21277,-20.45724
19075,853,52374,540,b'GALAXY',b'STARBURST',0.03539081,1495.142,467.3156,1862.03,79.15181,22.75031,130.2968,96.0354,-281.1449,-15.91129
19076,854,52373,285,b'GALAXY',b'STARFORMING',0.1590348,402.009,78.69927,29.11848,234.7512,20.64894,70.19151,52.70558,-29.74838,-17.52152
19077,854,52373,586,b'GALAXY',b'STARBURST',0.1419715,793.2252,210.2306,132.4866,283.17,25.0204,134.4872,104.9052,-75.11787,-28.92534
19078,855,52375,603,b'GALAXY',b'STARBURST',0.02480617,1605.513,376.3233,141.0323,546.1028,29.24993,282.7846,203.0464,-60.06122,-20.22488
19079,856,52339,33,b'GALAXY',b'STARBURST',0.1716509,1137.514,251.8865,144.5624,490.6216,27.32321,179.8808,134.1142,-113.3221,-47.95654
19080,858,52316,101,b'GALAXY',b'STARBURST',0.1216677,582.6533,137.7678,28.57764,218.3208,12.66146,91.29755,65.39168,-42.64831,-16.26758
